Date,Open,High,Low,Close/Last,Volume
8/19/2024,418.96,421.75,416.46,421.53,15233960
8/16/2024,420.60,421.34,417.30,418.47,22775590
8/15/2024,419.80,421.11,417.66,421.03,20752140
8/14/2024,414.80,417.72,412.45,416.86,18266980
8/13/2024,409.59,414.95,409.57,414.01,19414270
8/12/2024,407.06,408.76,404.24,406.81,16762880
8/9/2024,404.03,408.05,402.26,406.02,19276670
8/8/2024,402.44,405.86,399.94,402.69,20203030
8/7/2024,408.64,410.08,397.47,398.43,20650910
8/6/2024,400.00,405.67,398.50,399.61,24946530
8/5/2024,389.17,401.04,385.58,395.15,40709240
8/2/2024,412.49,415.00,404.34,408.49,29437900
8/1/2024,420.79,427.46,413.09,417.11,30296400
7/31/2024,420.50,421.78,412.21,418.35,42891370
7/30/2024,427.72,429.05,417.36,422.92,32687580
7/29/2024,431.58,432.15,424.70,426.73,15125840
7/26/2024,418.20,428.92,417.27,425.27,23583840
7/25/2024,428.80,429.80,417.51,418.40,29943800
7/24/2024,440.45,441.48,427.59,428.90,26805800
7/23/2024,443.90,448.39,443.10,444.85,13107050
7/22/2024,441.79,444.60,438.91,442.94,15808760
7/19/2024,433.10,441.14,432.00,437.11,20940420
7/18/2024,444.34,444.65,434.40,440.37,20794820
7/17/2024,442.59,444.85,439.18,443.52,21754020
7/16/2024,454.22,454.30,446.66,449.52,17175680
7/15/2024,453.30,457.26,451.43,453.96,14429450
7/12/2024,454.33,456.36,450.65,453.55,16324270
7/11/2024,462.98,464.78,451.55,454.70,23111180
7/10/2024,461.22,466.46,458.86,466.25,18196100
7/9/2024,467.00,467.33,458.00,459.54,17228510
7/8/2024,466.55,467.70,464.46,466.24,12962320
7/5/2024,459.61,468.35,458.97,467.56,16000290
7/3/2024,458.19,461.02,457.88,460.77,9932830
7/2/2024,453.20,459.59,453.11,459.28,13979780
7/1/2024,448.66,457.37,445.66,456.73,17662820
6/28/2024,453.07,455.38,446.41,446.95,28362270
6/27/2024,452.18,456.17,451.77,452.85,14806320
6/26/2024,449.00,453.60,448.19,452.16,16507030
6/25/2024,448.25,451.42,446.75,450.95,16747530
6/24/2024,449.80,452.75,446.41,447.67,15913720
6/21/2024,447.38,450.58,446.51,449.78,34486170
6/20/2024,446.30,446.53,441.27,445.70,19877380
6/18/2024,449.71,450.14,444.89,446.34,17112500
6/17/2024,442.59,450.94,440.72,448.37,20790030
6/14/2024,438.28,443.14,436.72,442.57,13581990
6/13/2024,440.85,443.39,439.37,441.58,15960570
6/12/2024,435.32,443.40,433.25,441.06,22366230
6/11/2024,425.48,432.82,425.25,432.68,14551100
6/10/2024,424.70,428.08,423.89,427.87,14003030
6/7/2024,426.20,426.28,423.00,423.85,13621650
6/6/2024,424.01,425.31,420.58,424.52,14861250
6/5/2024,417.81,424.08,416.30,424.01,16988040
6/4/2024,412.43,416.44,409.68,416.07,14348920
6/3/2024,415.53,416.43,408.92,413.52,17484680
5/31/2024,416.75,416.75,404.51,415.13,47995250
5/30/2024,424.30,424.30,414.24,414.67,28424850
5/29/2024,425.69,430.94,425.69,429.17,15517130
5/28/2024,429.63,430.82,426.60,430.32,15718020
5/24/2024,427.19,431.06,424.41,430.16,11855290
5/23/2024,432.97,433.60,425.42,427.00,17211690
5/22/2024,430.09,432.41,427.13,430.52,18073700
5/21/2024,426.83,432.97,424.85,429.04,21453260
5/20/2024,420.21,426.77,419.99,425.34,16272140
5/17/2024,422.54,422.92,418.03,420.21,15352240
5/16/2024,421.80,425.42,420.35,420.99,17530050
5/15/2024,417.90,423.81,417.27,423.08,22239530
5/14/2024,412.02,417.49,411.55,416.56,15109310
5/13/2024,418.01,418.35,410.82,413.72,15440230
5/10/2024,412.94,415.38,411.80,414.74,13402280
5/9/2024,410.57,412.72,409.10,412.32,14689730
5/8/2024,408.17,412.23,406.71,410.54,11792310
5/7/2024,414.66,414.67,409.09,409.34,20018230
5/6/2024,408.76,413.93,406.37,413.54,16996640
5/3/2024,402.28,407.15,401.86,406.66,17446720
5/2/2024,397.66,399.93,394.65,397.84,17709360
5/1/2024,392.61,401.72,390.31,394.94,23562480
4/30/2024,401.49,402.16,389.17,389.33,28781370
4/29/2024,405.25,406.32,399.19,402.25,19582090
4/26/2024,412.17,413.00,405.76,406.32,29694650
4/25/2024,394.03,399.89,388.03,399.04,40586450
4/24/2024,409.56,412.47,406.78,409.06,15065330
4/23/2024,404.24,408.20,403.06,407.57,15734500
4/22/2024,400.08,402.85,395.75,400.96,20286880
4/19/2024,404.03,405.48,397.77,399.12,30565790
4/18/2024,410.63,411.89,403.95,404.27,21029920
4/17/2024,417.25,418.88,410.33,411.84,15855490
4/16/2024,414.57,418.40,413.73,414.58,16765620
4/15/2024,426.60,426.82,413.43,413.64,20273540
4/12/2024,424.05,425.18,419.77,421.90,19253750
4/11/2024,425.82,429.37,422.36,427.93,17966420
4/10/2024,422.19,424.03,419.70,423.26,16216580
4/9/2024,426.44,427.74,421.62,426.28,12512290
4/8/2024,425.17,427.28,423.30,424.59,14272390
4/5/2024,420.01,426.51,418.32,425.52,16554760
4/4/2024,424.99,428.67,417.57,417.88,19370880
4/3/2024,419.73,423.26,419.09,420.45,16502260
4/2/2024,420.11,422.38,417.84,421.44,17911990
4/1/2024,423.95,427.89,422.22,424.57,16315960
3/28/2024,420.96,421.87,419.12,420.72,21871160
3/27/2024,424.44,424.45,419.01,421.43,16704980
3/26/2024,425.61,425.99,421.35,421.65,16725650
3/25/2024,425.24,427.41,421.61,422.86,18060450
3/22/2024,429.70,429.86,426.07,428.74,17648470
3/21/2024,429.83,430.82,427.16,429.37,21296220
3/20/2024,422.00,425.96,420.66,425.23,17860090
3/19/2024,417.83,421.67,415.55,421.41,19837920
3/18/2024,414.25,420.73,413.78,417.32,20105980
3/15/2024,419.29,422.60,412.79,416.42,45079900
3/14/2024,420.24,427.82,417.99,425.22,34157300
3/13/2024,418.10,418.18,411.45,415.10,17115930
3/12/2024,407.62,415.57,406.79,415.28,22457000
3/11/2024,403.76,405.68,401.26,404.52,16120750
3/8/2024,407.96,410.42,404.33,406.22,18002190
3/7/2024,406.12,409.78,402.24,409.14,18718480
3/6/2024,402.97,405.16,398.39,402.09,22344150
3/5/2024,413.96,414.25,400.64,402.65,26919180
3/4/2024,413.44,417.35,412.32,414.92,17595960
3/1/2024,411.27,415.87,410.88,415.50,17823450
2/29/2024,408.64,414.20,405.92,413.64,31947260
2/28/2024,408.18,409.30,405.32,407.72,13183130
2/27/2024,407.99,408.32,403.85,407.48,14835830
2/26/2024,411.46,412.16,407.36,407.54,16193510
2/23/2024,415.67,415.86,408.97,410.34,16295880
2/22/2024,410.19,412.83,408.57,411.65,27009870
2/21/2024,400.17,402.29,397.22,402.18,18631070
2/20/2024,403.24,404.49,398.01,402.79,24307920
2/16/2024,407.96,408.29,403.44,404.06,22296500
2/15/2024,408.14,409.13,404.29,406.56,21825530
2/14/2024,408.07,409.84,404.57,409.49,20401190
2/13/2024,404.94,410.07,403.39,406.32,27824940
2/12/2024,420.56,420.74,414.75,415.26,21202920
2/9/2024,415.25,420.82,415.09,420.55,22032840
2/8/2024,414.05,415.56,412.53,414.11,21225260
2/7/2024,407.44,414.30,407.40,414.05,22340530
2/6/2024,405.88,407.97,402.91,405.49,18382620
2/5/2024,409.90,411.16,403.99,405.65,25352290
2/2/2024,403.81,412.65,403.56,411.22,28256670
2/1/2024,401.83,408.00,401.80,403.78,30657730
1/31/2024,406.96,415.32,397.21,397.58,47871100
1/30/2024,412.26,413.05,406.45,408.59,33477610
1/29/2024,406.06,409.98,404.33,409.72,24510240
1/26/2024,404.37,406.17,402.43,403.93,17803270
1/25/2024,404.32,407.01,402.53,404.87,21021160
1/24/2024,401.54,405.63,400.45,402.56,24866950
1/23/2024,395.75,399.38,393.93,398.90,20525880
1/22/2024,400.02,400.62,393.59,396.51,27016900
1/19/2024,395.76,398.67,393.50,398.67,29331140
1/18/2024,391.72,393.99,390.12,393.87,23392070
1/17/2024,387.98,390.11,384.81,389.47,22234110
1/16/2024,393.66,394.03,387.62,390.27,27202270
1/12/2024,385.49,388.68,384.65,388.47,21661150
1/11/2024,386.00,390.68,380.38,384.63,27850850
1/10/2024,376.37,384.17,376.32,382.77,25514250
1/9/2024,372.01,375.99,371.19,375.79,20829950
1/8/2024,369.30,375.20,369.01,374.69,23133970
1/5/2024,368.97,372.06,366.50,367.75,21004580
1/4/2024,370.67,373.10,367.17,367.94,20901500
1/3/2024,369.01,373.26,368.51,370.60,23083470
1/2/2024,373.86,375.90,366.77,370.87,25258630
12/29/2023,376.00,377.16,373.48,376.04,18730840
12/28/2023,375.37,376.46,374.16,375.28,14327010
12/27/2023,373.69,375.06,372.81,374.07,14905410
12/26/2023,375.00,376.94,373.50,374.66,12673050
12/22/2023,373.68,375.18,372.71,374.58,17107480
12/21/2023,372.56,374.41,370.04,373.54,17708010
12/20/2023,375.00,376.03,370.53,370.62,26316650
12/19/2023,371.49,373.26,369.84,373.26,20603660
12/18/2023,369.45,373.00,368.68,372.65,21802880
12/15/2023,366.85,372.40,366.28,370.73,78502320
12/14/2023,373.31,373.76,364.13,365.93,43277460
12/13/2023,376.02,377.64,370.77,374.37,30955530
12/12/2023,370.85,374.42,370.46,374.38,24838250
12/11/2023,368.48,371.60,366.10,371.30,27708760
12/8/2023,369.20,374.46,368.23,374.23,20154370
12/7/2023,368.23,371.45,366.32,370.95,23118860
12/6/2023,373.54,374.18,368.03,368.80,21182070
12/5/2023,366.45,373.08,365.62,372.52,23065040
